,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,"Low birthweight
(%)
2015","Unweighed at birth
(%)
20102018*","Early
initiation
of breastfeeding
(%)","Exclusive
breastfeeding
(<6 months) 
(%)","Introduction
to solid,
semi-solid or
soft foods 
(68 months)
(%)",All children,"Poorest 
20%","Richest 
20%","Minimum diet diversity 
(623 months)
(%)","Minimum meal frequency 
(623 months)
(%)","Minimum acceptable diet 
(623 months)
(%)","Zero vegetable or fruit consumption (623 months)
(%)",,,,,,,,,
,Afghanistan,,86,63,58,61,74,80,70,22,51,15,59,,,,,,,,,
,Albania,5,13,57,37,89,43,38,37,52,51,29,26,,,,,,,,,
,Algeria,7,11,36,25,77,36,35,34,,52,,,,,,,,,,,
,Andorra,7,14,,,,,,,,,,,,,,,,,,,
,Angola,15,45,48,37,79,67,74,53,29,33,13,36,,,,,,,,,
,Anguilla,,,,,,,,,,,,,,,,,,,,,
,Antigua and Barbuda,9,,,,,,,,,,,,,,,,,,,,
,Argentina,7,4,53,32,97,39,49,33,,68,,,,,,,,,,,
,Armenia,9,0,41,44,90,29,32,24,36,72,24,22,,,,,,,,,
,Australia,7,1,,,,,,,,,,,,,,,,,,,
,Austria,7,0,,,,,,,,,,,,,,,,,,,
,Azerbaijan,7,3,20,12,77,26,24,15,35,,,38,,,,,,,,,
,Bahamas,13,16,,,,,,,,,,,,,,,,,,,
,Bahrain,12,2,,,,,,,,,,,,,,,,,,,
,Bangladesh,28,68,51,55,65,92,94,85,27,64,23,53,,,,,,,,,
,Barbados,,2,40,20,90,41,,,,61,,,,,,,,,,,
,Belarus,5,0,53,19,95,17,26,19,,74,,,,,,,,,,,
,Belgium,7,4,,,,,,,,,,,,,,,,,,,
,Belize,9,1,68,33,79,47,59,37,58,68,,30,,,,,,,,,
,Benin,17,40,54,41,56,69,77,52,26,45,15,54,,,,,,,,,
,Bhutan,12,28,78,51,87,80,88,76,,63,,,,,,,,,,,
,Bolivia (Plurinational State of),7,17,55,58,81,55,74,53,64,,,20,,,,,,,,,
,Bosnia and Herzegovina,3,2,42,18,76,12,16,10,,72,,,,,,,,,,,
,Botswana,16,5,53,30,73,15,,,,,,,,,,,,,,,
,Brazil,8,3,43,39,94,,,,,,,,,,,,,,,,
,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,
,Brunei Darussalam,11,4,,,,,,,,,,,,,,,,,,,
,Bulgaria,10,6,,,,,,,,,,,,,,,,,,,
,Burkina Faso,13,36,56,48,75,90,93,77,5,57,3,75,,,,,,,,,
,Burundi,15,20,85,82,86,89,92,84,18,39,10,9,,,,,,,,,
,Cabo Verde,,,73,60,,,,,,,,,,,,,,,,,
,Cambodia,12,9,63,65,82,58,65,39,40,72,30,35,,,,,,,,,
,Cameroon,12,40,31,28,83,46,75,16,23,60,16,42,,,,,,,,,
,Canada,6,1,,,,,,,,,,,,,,,,,,,
,Central African Republic,15,39,53,29,94,66,74,57,27,20,9,22,,,,,,,,,
,Chad,,88,23,<1.0,59,79,82,68,9,37,6,70,,,,,,,,,
,Chile,6,0,,,,,,,,,,,,,,,,,,,
,China,5,0,29,21,83,,,,35,69,25,,,,,,,,,,
,Colombia,10,18,72,36,78,45,49,33,,61,,,,,,,,,,,
,Comoros,24,33,34,11,80,65,68,69,22,30,6,52,,,,,,,,,
,Congo,12,10,25,33,84,32,54,20,14,32,5,51,,,,,,,,,
,Cook Islands,3,,,,,,,,,,,,,,,,,,,,
,Costa Rica,7,2,60,33,90,40,50,13,,79,,,,,,,,,,,
,Côte d'Ivoire,15,25,37,23,65,63,76,36,23,49,14,44,,,,,,,,,
,Croatia,5,,,,,,,,,,,,,,,,,,,,
,Cuba,5,5,48,33,91,31,,,70,79,56,27,,,,,,,,,
,Cyprus,,27,,,,,,,,,,,,,,,,,,,
,Czechia,8,0,,,,,,,,,,,,,,,,,,,
,Democratic People's Republic of Korea,,0,43,71,78,,,,47,75,29,,,,,,,,,,
,Democratic Republic of the Congo,11,24,52,47,79,82,87,67,17,35,8,29,,,,,,,,,
,Denmark,5,4,,,,,,,,,,,,,,,,,,,
,Djibouti,,,52,12,,,,,,,,,,,,,,,,,
,Dominica,,,,,,,,,,,,,,,,,,,,,
,Dominican Republic,11,4,38,5,81,20,27,14,51,80,43,35,,,,,,,,,
,Ecuador,11,19,55,40,74,,,,,,,,,,,,,,,,
,Egypt,,39,27,40,75,50,58,43,35,60,23,45,,,,,,,,,
,El Salvador,10,7,42,47,90,67,71,57,73,87,65,16,,,,,,,,,
,Equatorial Guinea,,30,,7,,31,47,34,,39,,,,,,,,,,,
,Eritrea,,65,93,69,44,86,,,,,,,,,,,,,,,
,Estonia,4,0,,,,,,,,,,,,,,,,,,,
,Eswatini,10,9,48,64,90,28,29,19,48,85,38,,,,,,,,,,
,Ethiopia,,86,73,57,60,85,84,83,12,45,7,69,,,,,,,,,
,Fiji,,11,57,40,,,,,,,,,,,,,,,,,
,Finland,4,6,,,,,,,,,,,,,,,,,,,
,France,7,0,,,,,,,,,,,,,,,,,,,
,Gabon,14,9,32,5,82,23,34,19,18,,,52,,,,,,,,,
,Gambia,17,41,52,47,55,78,81,69,10,58,8,76,,,,,,,,,
,Georgia,6,0,69,55,85,30,31,31,,,,,,,,,,,,,
,Germany,7,2,,,,,,,,,,,,,,,,,,,
,Ghana,14,40,56,52,73,76,92,71,24,43,13,51,,,,,,,,,
,Greece,9,4,,,,,,,,,,,,,,,,,,,
,Grenada,,,,,,,,,,,,,,,,,,,,,
,Guatemala,11,6,63,53,80,72,85,48,59,82,52,27,,,,,,,,,
,Guinea,,49,34,33,54,78,91,53,6,24,2,85,,,,,,,,,
,Guinea-Bissau,21,56,34,53,57,77,83,57,10,57,8,44,,,,,,,,,
,Guyana,16,11,49,21,81,46,64,25,40,63,28,33,,,,,,,,,
,Haiti,,67,47,40,91,52,59,43,19,39,11,55,,,,,,,,,
,Holy See,,,,,,,,,,,,,,,,,,,,,
,Honduras,11,17,64,31,86,59,76,42,61,86,55,36,,,,,,,,,
,Hungary,9,0,,,,,,,,,,,,,,,,,,,
,Iceland,4,8,,,,,,,,,,,,,,,,,,,
,India,,22,41,55,46,80,88,69,20,36,10,55,,,,,,,,,
,Indonesia,10,10,58,51,86,67,74,56,54,72,40,18,,,,,,,,,
,Iran (Islamic Republic of),,,69,53,76,,,,,,,,,,,,,,,,
,Iraq,,28,32,26,85,35,47,32,45,78,35,25,,,,,,,,,
,Ireland,6,4,,,,,,,,,,,,,,,,,,,
,Israel,8,0,,,,,,,,,,,,,,,,,,,
,Italy,7,2,,,,,,,,,,,,,,,,,,,
,Jamaica,15,4,65,24,64,38,39,29,,42,,,,,,,,,,,
,Japan,9,5,,,,,,,,,,,,,,,,,,,
,Jordan,14,5,67,25,83,26,28,33,35,62,23,41,,,,,,,,,
,Kazakhstan,5,1,83,38,66,41,40,45,49,77,38,21,,,,,,,,,
,Kenya,11,34,62,61,80,75,79,69,36,51,22,29,,,,,,,,,
,Kiribati,,24,80,66,70,85,92,80,27,,,,,,,,,,,,
,Kuwait,10,30,,,,,,,,,,,,,,,,,,,
,Kyrgyzstan,6,0,81,46,91,47,53,36,60,76,44,14,,,,,,,,,
,Lao People's Democratic Republic,17,33,50,44,87,43,66,19,36,70,27,36,,,,,,,,,
,Latvia,5,0,,,,,,,,,,,,,,,,,,,
,Lebanon,9,0,41,,,14,,,,,,,,,,,,,,,
,Lesotho,15,17,65,67,83,53,74,26,17,61,11,50,,,,,,,,,
,Liberia,,77,61,55,47,69,76,53,10,30,5,39,,,,,,,,,
,Libya,,,,,,,,,,,,,,,,,,,,,
,Liechtenstein,,,,,,,,,,,,,,,,,,,,,
,Lithuania,5,7,,,,,,,,,,,,,,,,,,,
,Luxembourg,7,0,,,,,,,,,,,,,,,,,,,
,Madagascar,17,60,66,42,90,79,79,77,22,,,33,,,,,,,,,
,Malawi,14,16,76,59,85,84,87,78,23,29,8,23,,,,,,,,,
,Malaysia,11,1,,40,,,,,,,,,,,,,,,,,
,Maldives,12,11,67,63,97,73,79,,71,70,51,15,,,,,,,,,
,Mali,,63,53,40,42,79,82,73,11,23,3,70,,,,,,,,,
,Malta,6,0,,,,,,,,,,,,,,,,,,,
,Marshall Islands,,10,61,43,64,36,25,,34,61,16,46,,,,,,,,,
,Mauritania,,64,68,40,74,70,75,61,28,39,14,51,,,,,,,,,
,Mauritius,17,6,,,,,,,,,,,,,,,,,,,
,Mexico,8,2,51,30,82,36,52,16,59,81,48,18,,,,,,,,,
,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,
,Monaco,5,0,,,,,,,,,,,,,,,,,,,
,Mongolia,5,1,84,59,97,64,66,58,45,92,41,37,,,,,,,,,
,Montenegro,5,1,14,17,95,15,27,11,69,90,61,9,,,,,,,,,
,Montserrat,,,,,,,,,,,,,,,,,,,,,
,Morocco,17,27,43,35,84,35,45,19,,,,,,,,,,,,,
,Mozambique,14,49,69,41,95,75,80,53,28,41,13,36,,,,,,,,,
,Myanmar,12,55,67,51,75,78,84,66,21,58,16,56,,,,,,,,,
,Namibia,16,14,71,48,80,47,55,27,25,41,13,52,,,,,,,,,
,Nauru,,4,76,67,,67,,,,,,,,,,,,,,,
,Nepal,22,39,55,65,84,94,97,91,45,71,36,38,,,,,,,,,
,Netherlands,6,6,,,,,,,,,,,,,,,,,,,
,New Zealand,6,8,,,,,,,,,,,,,,,,,,,
,Nicaragua,11,8,54,32,89,52,64,28,,,,,,,,,,,,,
,Niger,,77,53,23,62,78,85,71,8,51,6,67,,,,,,,,,
,Nigeria,,75,33,25,66,51,80,48,34,46,15,32,,,,,,,,,
,Niue,,,,,,,,,,,,,,,,,,,,,
,North Macedonia,9,4,21,23,87,27,25,26,,65,,,,,,,,,,,
,Norway,4,3,,,,,,,,,,,,,,,,,,,
,Oman,11,0,82,23,95,,,,,65,,,,,,,,,,,
,Pakistan,,84,20,47,65,63,75,52,15,63,13,61,,,,,,,,,
,Palau,,,,,,,,,,,,,,,,,,,,,
,Panama,10,9,47,21,78,41,57,18,,64,,,,,,,,,,,
,Papua New Guinea,,,,56,,,,,,,,,,,,,,,,,
,Paraguay,8,2,50,30,87,33,41,43,52,75,40,16,,,,,,,,,
,Peru,9,5,50,66,95,65,69,53,83,,,7,,,,,,,,,
,Philippines,20,16,57,33,89,60,68,49,54,,,22,,,,,,,,,
,Poland,6,0,,,,,,,,,,,,,,,,,,,
,Portugal,9,0,,,,,,,,,,,,,,,,,,,
,Qatar,7,2,34,29,74,47,,,,49,,,,,,,,,,,
,Republic of Korea,6,2,,,,,,,,,,,,,,,,,,,
,Republic of Moldova,5,1,61,36,75,27,44,22,70,49,,10,,,,,,,,,
,Romania,8,2,58,16,,,,,,,,,,,,,,,,,
,Russian Federation,6,0,25,,,,,,,,,,,,,,,,,,
,Rwanda,8,8,80,87,57,91,94,81,28,47,18,25,,,,,,,,,
,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,
,Saint Lucia,,0,50,3,,29,,,,50,,,,,,,,,,,
,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,
,Samoa,,24,81,70,74,73,,,,,,,,,,,,,,,
,San Marino,3,2,,,,,,,,,,,,,,,,,,,
,Sao Tome and Principe,7,7,38,72,74,51,65,46,37,60,23,27,,,,,,,,,
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,
,Senegal,18,40,34,42,67,70,77,61,20,31,8,52,,,,,,,,,
,Serbia,5,2,51,13,97,15,20,18,77,96,70,3,,,,,,,,,
,Seychelles,12,0,,,,,,,,,,,,,,,,,,,
,Sierra Leone,14,52,56,47,68,61,71,33,18,43,9,41,,,,,,,,,
,Singapore,10,17,,,,,,,,,,,,,,,,,,,
,Slovakia,8,2,,,,,,,,,,,,,,,,,,,
,Slovenia,6,4,,,,,,,,,,,,,,,,,,,
,Solomon Islands,,14,79,76,,71,,,,,,,,,,,,,,,
,Somalia,,96,23,5,17,43,61,23,,,,,,,,,,,,,
,South Africa,14,19,67,32,83,34,47,25,40,52,23,37,,,,,,,,,
,South Sudan,,,50,45,42,62,67,58,,12,,,,,,,,,,,
,Spain,8,4,,,,,,,,,,,,,,,,,,,
,Sri Lanka,16,0,90,82,88,91,,,,,,,,,,,,,,,
,State of Palestine,8,0,41,38,90,31,33,29,50,79,39,27,,,,,,,,,
,Sudan,,89,69,55,61,73,72,74,24,42,15,67,,,,,,,,,
,Suriname,15,19,45,3,79,17,16,15,,64,,,,,,,,,,,
,Sweden,2,5,,,,,,,,,,,,,,,,,,,
,Switzerland,6,0,,,,,,,,,,,,,,,,,,,
,Syrian Arab Republic,,52,46,43,44,45,57,42,,,,,,,,,,,,,
,Tajikistan,6,9,62,36,63,57,63,53,23,40,9,58,,,,,,,,,
,Thailand,11,1,40,23,85,24,35,11,63,85,54,22,,,,,,,,,
,Timor-Leste,,47,75,50,63,52,61,44,28,46,13,35,,,,,,,,,
,Togo,16,40,61,57,67,82,92,69,18,46,12,45,,,,,,,,,
,Tokelau,,,,,,,,,,,,,,,,,,,,,
,Tonga,,6,79,52,,41,,,,,,,,,,,,,,,
,Trinidad and Tobago,12,19,46,21,56,34,45,,,70,,,,,,,,,,,
,Tunisia,7,3,32,14,97,30,39,28,,88,55,20,,,,,,,,,
,Turkey,11,0,50,30,75,50,,,,,,,,,,,,,,,
,Turkmenistan,5,1,73,58,82,44,54,24,82,93,77,9,,,,,,,,,
,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,
,Tuvalu,,3,15,35,,53,,,,,,,,,,,,,,,
,Uganda,,33,66,65,81,67,77,53,26,42,15,44,,,,,,,,,
,Ukraine,6,3,66,20,75,31,31,30,,64,,,,,,,,,,,
,United Arab Emirates,13,3,,,,,,,,,,,,,,,,,,,
,United Kingdom,7,4,,,,,,,,,,,,,,,,,,,
,United Republic of Tanzania,10,36,51,59,92,72,75,70,21,40,9,29,,,,,,,,,
,United States,8,2,,35,,13,,,,,,,,,,,,,,,
,Uruguay,8,6,77,,,,,,,,,,,,,,,,,,
,Uzbekistan,5,1,67,24,47,57,66,52,,,,,,,,,,,,,
,Vanuatu,11,13,85,73,72,58,,,,,,,,,,,,,,,
,Venezuela (Bolivarian Republic of),9,,,,,,,,,,,,,,,,,,,,
,Viet Nam,8,6,26,24,91,43,55,29,59,91,55,14,,,,,,,,,
,Yemen,,92,53,10,69,63,73,56,21,59,15,66,,,,,,,,,
,Zambia,12,34,66,70,82,63,87,48,18,42,10,35,,,,,,,,,
,Zimbabwe,13,18,58,47,91,55,61,45,23,36,8,32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
