countries and areas,"Completion rate 2012–2018, Upper secondary education, male","Completion rate 2012–2018, Upper secondary education, female",Life expectancy at birth (years): 2018,"""Infant and Young Child Feeding (0-23 months) 2013–2018*"" Early initiation of breastfeeding (%)"
Afghanistan,32,14,64,63.0
Albania,43,60,78,57.0
Algeria,30,47,77,36.0
Andorra,,−,,
Angola,21,15,61,48.0
Anguilla,,−,,
Antigua and Barbuda,,−,77,
Argentina,53,66,77,53.0
Armenia,91,96,75,41.0
Australia,,−,83,
Austria,,−,81,
Azerbaijan,,−,73,20.0
Bahamas,,−,74,
Bahrain,,−,77,
Bangladesh,31,26,72,51.0
Barbados,91,97,79,40.0
Belarus,96,98,75,53.0
Belgium,,−,81,
Belize,20,25,74,68.0
Benin,12,5,61,54.0
Bhutan,25,18,71,78.0
Bolivia (Plurinational State of),,−,71,55.0
Bosnia and Herzegovina,92,92,77,42.0
Botswana,,−,69,53.0
Brazil,53,64,76,43.0
British Virgin Islands,,−,,
Brunei Darussalam,,−,76,
Bulgaria,,−,75,
Burkina Faso,6,2,61,56.0
Burundi,4,3,61,85.0
Cabo Verde,,−,73,73.0
Cambodia,20,20,70,63.0
Cameroon,18,14,59,31.0
Canada,,−,82,
Central African Republic,8,6,53,53.0
Chad,15,6,54,23.0
Chile,,−,80,
China,64,67,77,29.0
Colombia,69,78,77,72.0
Comoros,24,32,64,34.0
Congo,28,19,64,25.0
Cook Islands,,−,,
Costa Rica,38,56,80,60.0
Côte d'Ivoire,17,15,57,37.0
Croatia,,−,78,
Cuba,81,86,79,48.0
Cyprus,,−,81,
Czechia,,−,79,
Democratic People's Republic of Korea,100,100,72,43.0
Democratic Republic of the Congo,30,21,60,52.0
Denmark,,−,81,
Djibouti,,−,67,52.0
Dominica,,−,,
Dominican Republic,48,66,74,38.0
Ecuador,,−,77,55.0
Egypt,71,69,72,27.0
El Salvador,34,36,73,42.0
Equatorial Guinea,,−,58,
Eritrea,,−,66,93.0
Estonia,,−,79,
Eswatini,31,33,59,48.0
Ethiopia,13,13,66,73.0
Fiji,,−,67,57.0
Finland,,−,82,
France,,−,83,
Gabon,11,11,66,32.0
Gambia,31,29,62,52.0
Georgia,,−,74,69.0
Germany,,−,81,
Ghana,42,35,64,56.0
Greece,,−,82,
Grenada,,−,72,
Guatemala,27,25,74,63.0
Guinea,29,15,61,34.0
Guinea-Bissau,11,8,58,34.0
Guyana,49,64,70,49.0
Haiti,17,16,64,47.0
Holy See,,−,,
Honduras,27,33,75,64.0
Hungary,,−,77,
Iceland,,−,83,
India,46,40,69,41.0
Indonesia,40,37,72,58.0
Iran (Islamic Republic of),,−,76,69.0
Iraq,45,43,70,32.0
Ireland,,−,82,
Israel,,−,83,
Italy,,−,83,
Jamaica,80,83,74,65.0
Japan,,−,84,
Jordan,49,63,74,67.0
Kazakhstan,95,96,73,83.0
Kenya,44,38,66,62.0
Kiribati,,−,68,80.0
Kuwait,,−,75,
Kyrgyzstan,82,85,71,81.0
Lao People's Democratic Republic,33,31,68,50.0
Latvia,,−,75,
Lebanon,,−,79,41.0
Lesotho,20,27,54,65.0
Liberia,18,9,64,61.0
Libya,,−,73,
Liechtenstein,,−,,
Lithuania,,−,76,
Luxembourg,,−,82,
Madagascar,,−,67,66.0
Malawi,15,13,64,76.0
Malaysia,,−,76,
Maldives,,−,79,67.0
Mali,23,12,59,53.0
Malta,,−,82,
Marshall Islands,,−,,61.0
Mauritania,14,15,65,68.0
Mauritius,,−,75,
Mexico,25,22,75,51.0
Micronesia (Federated States of),,−,68,
Monaco,,−,,
Mongolia,64,78,70,84.0
Montenegro,84,87,77,14.0
Montserrat,,−,,
Morocco,,−,76,43.0
Mozambique,8,4,60,69.0
Myanmar,13,18,67,67.0
Namibia,33,39,63,71.0
Nauru,,−,,76.0
Nepal,52,39,70,55.0
Netherlands,,−,82,
New Zealand,,−,82,
Nicaragua,,−,74,54.0
Niger,4,1,62,53.0
Nigeria,70,59,54,33.0
Niue,,−,,
North Macedonia,80,69,76,21.0
Norway,,−,82,
Oman,,−,78,82.0
Pakistan,43,38,67,20.0
Palau,,−,,
Panama,57,68,78,47.0
Papua New Guinea,,−,64,
Paraguay,0,0,74,50.0
Peru,78,72,77,50.0
Philippines,54,66,71,57.0
Poland,,−,79,
Portugal,,−,82,
Qatar,,−,80,34.0
Republic of Korea,,−,83,
Republic of Moldova,63,74,72,61.0
Romania,,−,76,58.0
Russian Federation,,−,72,25.0
Rwanda,19,16,69,80.0
Saint Kitts and Nevis,,−,,
Saint Lucia,70,90,76,50.0
Saint Vincent and the Grenadines,,−,72,
Samoa,,−,73,81.0
San Marino,,−,,
Sao Tome and Principe,12,12,70,38.0
Saudi Arabia,,−,75,
Senegal,14,10,68,34.0
Serbia,71,81,76,51.0
Seychelles,,−,73,
Sierra Leone,27,18,54,56.0
Singapore,,−,83,
Slovakia,,−,77,
Slovenia,,−,81,
Solomon Islands,,−,73,79.0
Somalia,,−,57,23.0
South Africa,45,52,64,67.0
South Sudan,13,4,58,50.0
Spain,,−,83,
Sri Lanka,,−,77,90.0
State of Palestine,52,73,74,41.0
Sudan,34,29,65,69.0
Suriname,19,28,72,45.0
Sweden,,−,83,
Switzerland,,−,84,
Syrian Arab Republic,,−,72,46.0
Tajikistan,80,63,71,62.0
Thailand,50,62,77,40.0
Timor-Leste,49,55,69,75.0
Togo,20,10,61,61.0
Tokelau,,−,,
Tonga,,−,71,79.0
Trinidad and Tobago,,−,73,46.0
Tunisia,40,57,77,32.0
Turkey,58,48,77,50.0
Turkmenistan,83,80,68,73.0
Turks and Caicos Islands,,−,,
Tuvalu,,−,,15.0
Uganda,16,14,63,66.0
Ukraine,97,97,72,66.0
United Arab Emirates,,−,78,
United Kingdom,,−,81,
United Republic of Tanzania,32,27,65,51.0
United States,,−,79,
Uruguay,45,28,78,77.0
Uzbekistan,,−,72,67.0
Vanuatu,,−,70,85.0
Venezuela (Bolivarian Republic of),,−,72,
Viet Nam,50,61,75,26.0
Yemen,37,23,66,53.0
Zambia,34,23,64,66.0
Zimbabwe,15,11,61,58.0
